AthletId;ClubId;Year
a21aa-8x7ee0-jm498ie2-1-jmemf824-hlp;ACC_1.NE.0907;2019
CONTACT.WEB.133282;ACC_1.VD.1602;2020
CONTACT.WEB.133282;ACC_1.VD.1602;2015
CONTACT.WEB.133282;ACC_1.VD.1602;2016
CONTACT.WEB.133282;ACC_1.VD.1602;2017
CONTACT.WEB.133282;ACC_1.VD.1602;2018
CONTACT.WEB.133282;ACC_1.VD.1602;2019
CONTACT.WEB.133282;ACC_1.VD.1602;2012
CONTACT.WEB.133282;ACC_1.VD.1602;2013
CONTACT.WEB.133282;ACC_1.VD.1602;2014
CONTACT.WEB.133282;4sgua-ybujfs-ff6p4st9-1-ffkwbsrq-71j;2011
CONTACT.WEB.125754;ACC_1.JU.0817;2020
CONTACT.WEB.125754;ACC_1.JU.0817;2015
CONTACT.WEB.125754;ACC_1.JU.0817;2016
CONTACT.WEB.125754;ACC_1.JU.0817;2017
CONTACT.WEB.125754;ACC_1.JU.0817;2018
CONTACT.WEB.125754;ACC_1.JU.0817;2019
CONTACT.WEB.125754;ACC_1.JU.0817;2008
CONTACT.WEB.125754;ACC_1.JU.0817;2009
CONTACT.WEB.125754;ACC_1.JU.0817;2010
CONTACT.WEB.125754;ACC_1.JU.0817;2011
CONTACT.WEB.125754;ACC_1.JU.0817;2012
CONTACT.WEB.125754;ACC_1.JU.0817;2013
CONTACT.WEB.125754;ACC_1.JU.0817;2014
4sgua-r12i6d-j1fjfvqs-1-j1vwkth3-9km3;ACC_1.NE.0901;2020
4sgua-r12i6d-j1fjfvqs-1-j1vwkth3-9km3;ACC_1.NE.0901;2017
4sgua-r12i6d-j1fjfvqs-1-j1vwkth3-9km3;ACC_1.NE.0901;2018
4sgua-r12i6d-j1fjfvqs-1-j1vwkth3-9km3;ACC_1.NE.0901;2019
CON_104028;ACC_1.TI.1508;2020
CON_104028;ACC_1.TI.1508;2015
CON_104028;ACC_1.TI.1508;2016
CON_104028;ACC_1.TI.1508;2017
CON_104028;ACC_1.TI.1508;2018
CON_104028;ACC_1.TI.1508;2019
CON_104028;ACC_1.TI.1508;2006
CON_104028;ACC_1.TI.1508;2007
CON_104028;ACC_1.TI.1508;2008
CON_104028;ACC_1.TI.1508;2009
CON_104028;ACC_1.TI.1508;2010
CON_104028;ACC_1.TI.1508;2011
CON_104028;ACC_1.TI.1508;2012
CON_104028;ACC_1.TI.1508;2013
CON_104028;ACC_1.TI.1508;2014
4sgua-6rs9z8-j2ppd3ax-1-j30gc78a-b946;ACC_1.ZH.1804;2020
4sgua-6rs9z8-j2ppd3ax-1-j30gc78a-b946;ACC_1.ZH.1804;2019
4sgua-6rs9z8-j2ppd3ax-1-j30gc78a-b946;ACC_1.ZH.1822;2017
4sgua-6rs9z8-j2ppd3ax-1-j30gc78a-b946;ACC_1.ZH.1822;2018
4sgua-5r6xb8-j6howdnr-1-j6xr6580-jhe8;ACC_1.ZH.1802;2020
4sgua-5r6xb8-j6howdnr-1-j6xr6580-jhe8;ACC_1.ZH.1802;2017
4sgua-5r6xb8-j6howdnr-1-j6xr6580-jhe8;ACC_1.ZH.1802;2018
4sgua-5r6xb8-j6howdnr-1-j6xr6580-jhe8;ACC_1.ZH.1802;2019
CONTACT.WEB.131298;ACC_1.VS.1703;2020
CONTACT.WEB.131298;ACC_1.VS.1703;2015
CONTACT.WEB.131298;ACC_1.VS.1703;2016
CONTACT.WEB.131298;ACC_1.VS.1703;2017
CONTACT.WEB.131298;ACC_1.VS.1703;2018
CONTACT.WEB.131298;ACC_1.VS.1703;2019
CONTACT.WEB.131298;ACC_1.VS.1703;2010
CONTACT.WEB.131298;ACC_1.VS.1703;2011
CONTACT.WEB.131298;ACC_1.VS.1703;2012
CONTACT.WEB.131298;ACC_1.VS.1703;2013
CONTACT.WEB.131298;ACC_1.VS.1703;2014
a21aa-vng5gp-jeiqgwdz-1-jfhvcqh0-1gta;ACC_1.BSBL.0202;2020
a21aa-vng5gp-jeiqgwdz-1-jfhvcqh0-1gta;ACC_1.SO.1209;2018
a21aa-vng5gp-jeiqgwdz-1-jfhvcqh0-1gta;ACC_1.SO.1209;2019
CONTACT.WEB.142704;ACC_1.SGALV.1026;2020
CONTACT.WEB.142704;ACC_1.SGALV.1026;2018
CONTACT.WEB.142704;ACC_1.SGALV.1026;2019
CONTACT.WEB.146550;4sgua-h6wyan-j7tlcvpe-1-j8a945y5-o8ip;2020
CONTACT.WEB.146550;ACC_1.SH.1101;2016
CONTACT.WEB.146550;ACC_1.SH.1101;2017
CONTACT.WEB.146550;ACC_1.SH.1101;2018
CONTACT.WEB.146550;ACC_1.SH.1101;2019
a21aa-ykp7tt-jugbdsd0-1-jvdddvp0-5c9d;ACC_1.AG.0009;2020
a21aa-ykp7tt-jugbdsd0-1-jvdddvp0-5c9d;ACC_1.AG.0009;2019
CONTACT.WEB.135584;ACC_1.INNERSCHWEIZ.0741;2020
CONTACT.WEB.135584;ACC_1.INNERSCHWEIZ.0741;2016
CONTACT.WEB.135584;ACC_1.INNERSCHWEIZ.0741;2017
CONTACT.WEB.135584;ACC_1.INNERSCHWEIZ.0741;2018
CONTACT.WEB.135584;ACC_1.INNERSCHWEIZ.0741;2019
CONTACT.WEB.151101;ACC_1.BE.0117;2020
CONTACT.WEB.151101;ACC_1.BE.0117;2017
CONTACT.WEB.151101;ACC_1.BE.0117;2018
CONTACT.WEB.151101;ACC_1.BE.0117;2019
CONTACT.WEB.127040;ACC_1.ZH.1804;2020
CONTACT.WEB.127040;ACC_1.ZH.1804;2017
CONTACT.WEB.127040;ACC_1.ZH.1804;2019
CONTACT.WEB.127040;ACC_1.VD.1602;2009
CONTACT.WEB.127040;ACC_1.VD.1602;2010
CONTACT.WEB.127040;ACC_1.VD.1602;2011
CONTACT.WEB.127040;ACC_1.VD.1602;2012
CONTACT.WEB.127040;ACC_1.VD.1602;2013
CONTACT.WEB.142822;ACC_1.INNERSCHWEIZ.0701;2020
CONTACT.WEB.142822;ACC_1.INNERSCHWEIZ.0701;2016
CONTACT.WEB.142822;ACC_1.INNERSCHWEIZ.0701;2017
CONTACT.WEB.142822;ACC_1.INNERSCHWEIZ.0701;2018
CONTACT.WEB.142822;ACC_1.INNERSCHWEIZ.0701;2019
4sgua-mqqbdm-i9x77mma-1-ia2o137g-6b9l;ACC_1.AG.0033;2020
4sgua-mqqbdm-i9x77mma-1-ia2o137g-6b9l;ACC_1.AG.0033;2015
4sgua-mqqbdm-i9x77mma-1-ia2o137g-6b9l;ACC_1.AG.0033;2016
4sgua-mqqbdm-i9x77mma-1-ia2o137g-6b9l;ACC_1.AG.0033;2017
4sgua-mqqbdm-i9x77mma-1-ia2o137g-6b9l;ACC_1.AG.0033;2018
4sgua-mqqbdm-i9x77mma-1-ia2o137g-6b9l;ACC_1.AG.0033;2019
CONTACT.WEB.135255;ACC_1.BE.0154;2020
CONTACT.WEB.135255;ACC_1.BE.0154;2015
CONTACT.WEB.135255;ACC_1.BE.0154;2016
CONTACT.WEB.135255;ACC_1.BE.0154;2017
CONTACT.WEB.135255;ACC_1.BE.0154;2018
CONTACT.WEB.135255;ACC_1.BE.0154;2019
CONTACT.WEB.135255;ACC_1.BE.0154;2014
4sgua-yb40b7-ihzfuguy-1-ijb3ntu9-fe7j;ACC_1.VD.1602;2020
4sgua-yb40b7-ihzfuguy-1-ijb3ntu9-fe7j;ACC_1.VD.1602;2016
4sgua-yb40b7-ihzfuguy-1-ijb3ntu9-fe7j;ACC_1.VD.1602;2017
4sgua-yb40b7-ihzfuguy-1-ijb3ntu9-fe7j;ACC_1.VD.1602;2018
4sgua-yb40b7-ihzfuguy-1-ijb3ntu9-fe7j;ACC_1.VD.1602;2019
CONTACT.WEB.136693;ACC_1.BSBL.0216;2020
CONTACT.WEB.136693;ACC_1.BSBL.0216;2015
CONTACT.WEB.136693;ACC_1.BSBL.0216;2016
CONTACT.WEB.136693;ACC_1.BSBL.0216;2017
CONTACT.WEB.136693;ACC_1.BSBL.0216;2018
CONTACT.WEB.136693;ACC_1.BSBL.0216;2019
CONTACT.WEB.136693;ACC_1.BSBL.0216;2014
CONTACT.WEB.129696;ACC_1.ZH.1822;2020
CONTACT.WEB.129696;ACC_1.ZH.1822;2019
CONTACT.WEB.129696;ACC_1.BE.0161;2015
CONTACT.WEB.129696;ACC_1.AG.0006;2016
CONTACT.WEB.129696;ACC_1.AG.0006;2017
CONTACT.WEB.129696;ACC_1.AG.0006;2018
CONTACT.WEB.129696;ACC_1.AG.0006;2007
CONTACT.WEB.129696;ACC_1.AG.0006;2008
CONTACT.WEB.129696;ACC_1.AG.0006;2009
CONTACT.WEB.129696;ACC_1.AG.0006;2010
CONTACT.WEB.129696;ACC_1.AG.0006;2011
CONTACT.WEB.129696;ACC_1.AG.0006;2012
CONTACT.WEB.129696;ACC_1.AG.0006;2013
CONTACT.WEB.129696;ACC_1.AG.0006;2014
CONTACT.WEB.147941;ACC_1.FR.0321;2020
CONTACT.WEB.147941;ACC_1.FR.0321;2017
CONTACT.WEB.147941;ACC_1.FR.0321;2018
CONTACT.WEB.147941;ACC_1.FR.0321;2019
akb20-rbtfg-eph33cov-1-epqwq28c-3e8;ACC_1.BSBL.0209;2020
akb20-rbtfg-eph33cov-1-epqwq28c-3e8;ACC_1.BSBL.0209;2015
akb20-rbtfg-eph33cov-1-epqwq28c-3e8;ACC_1.BSBL.0209;2016
akb20-rbtfg-eph33cov-1-epqwq28c-3e8;ACC_1.BSBL.0209;2017
akb20-rbtfg-eph33cov-1-epqwq28c-3e8;ACC_1.BSBL.0209;2019
akb20-rbtfg-eph33cov-1-epqwq28c-3e8;ACC_1.BSBL.0209;2010
CONTACT.WEB.132107;ACC_1.AG.0006;2020
CONTACT.WEB.132107;ACC_1.AG.0006;2015
CONTACT.WEB.132107;ACC_1.AG.0006;2016
CONTACT.WEB.132107;ACC_1.AG.0006;2018
CONTACT.WEB.132107;ACC_1.AG.0006;2012
CONTACT.WEB.132107;ACC_1.AG.0006;2013
a21aa-ogaf4d-jy7njhbg-1-jzaqf7df-4eke;ACC_1.ZH.1804;2020
a21aa-ogaf4d-jy7njhbg-1-jzaqf7df-4eke;ACC_1.ZH.1804;2019
CONTACT.WEB.139523;ACC_1.AG.0008;2020
CONTACT.WEB.139523;ACC_1.AG.0008;2015
CONTACT.WEB.139523;ACC_1.AG.0008;2016
CONTACT.WEB.139523;ACC_1.AG.0008;2017
CONTACT.WEB.139523;ACC_1.AG.0008;2018
CONTACT.WEB.139523;ACC_1.AG.0008;2019
CONTACT.WEB.139523;ACC_1.AG.0008;2014
CONTACT.WEB.142299;ACC_1.VS.1721;2020
CONTACT.WEB.142299;ACC_1.VS.1721;2017
CONTACT.WEB.142299;ACC_1.VS.1721;2018
CONTACT.WEB.142299;ACC_1.VS.1721;2019
CONTACT.WEB.142405;ACC_1.BSBL.0209;2020
CONTACT.WEB.142405;ACC_1.BSBL.0209;2019
CONTACT.WEB.143545;ACC_1.ZH.1804;2020
CONTACT.WEB.143545;ACC_1.ZH.1804;2015
CONTACT.WEB.143545;ACC_1.ZH.1804;2016
CONTACT.WEB.143545;ACC_1.ZH.1804;2017
CONTACT.WEB.143545;ACC_1.ZH.1804;2012
CONTACT.WEB.143545;ACC_1.ZH.1804;2014
4sgua-gmc0r5-gn1jzr0h-1-gn67bf7z-2to;4sgua-ybujfs-ff6p4st9-1-ffkwbsrq-71j;2020
4sgua-gmc0r5-gn1jzr0h-1-gn67bf7z-2to;4sgua-ybujfs-ff6p4st9-1-ffkwbsrq-71j;2017
4sgua-gmc0r5-gn1jzr0h-1-gn67bf7z-2to;4sgua-ybujfs-ff6p4st9-1-ffkwbsrq-71j;2018
4sgua-gmc0r5-gn1jzr0h-1-gn67bf7z-2to;4sgua-ybujfs-ff6p4st9-1-ffkwbsrq-71j;2019
CONTACT.WEB.134381;ACC_1.INNERSCHWEIZ.0716;2020
CONTACT.WEB.134381;ACC_1.INNERSCHWEIZ.0716;2015
CONTACT.WEB.134381;ACC_1.INNERSCHWEIZ.0716;2016
CONTACT.WEB.134381;ACC_1.INNERSCHWEIZ.0716;2017
CONTACT.WEB.134381;ACC_1.INNERSCHWEIZ.0716;2018
CONTACT.WEB.134381;ACC_1.INNERSCHWEIZ.0716;2019
CONTACT.WEB.134381;ACC_1.INNERSCHWEIZ.0716;2011
CONTACT.WEB.134381;ACC_1.INNERSCHWEIZ.0716;2012
CONTACT.WEB.134381;ACC_1.INNERSCHWEIZ.0716;2013
CONTACT.WEB.134381;ACC_1.INNERSCHWEIZ.0716;2014
CONTACT.WEB.135652;ACC_1.ZH.1814;2020
CONTACT.WEB.135652;ACC_1.ZH.1814;2017
CONTACT.WEB.135652;ACC_1.ZH.1814;2018
CONTACT.WEB.135652;ACC_1.ZH.1814;2019
CONTACT.WEB.125951;ACC_1.ZH.1804;2020
CONTACT.WEB.125951;ACC_1.ZH.1804;2015
CONTACT.WEB.125951;ACC_1.ZH.1804;2016
CONTACT.WEB.125951;ACC_1.ZH.1804;2017
CONTACT.WEB.125951;ACC_1.ZH.1804;2018
CONTACT.WEB.125951;ACC_1.ZH.1804;2019
CONTACT.WEB.125951;ACC_1.ZH.1804;2008
CONTACT.WEB.125951;ACC_1.ZH.1804;2009
CONTACT.WEB.125951;ACC_1.ZH.1804;2010
CONTACT.WEB.125951;ACC_1.ZH.1804;2011
CONTACT.WEB.125951;ACC_1.ZH.1804;2012
CONTACT.WEB.125951;ACC_1.ZH.1804;2013
CONTACT.WEB.125951;ACC_1.ZH.1804;2014
4sgua-dxudib-i5dl8l9h-1-i5mtrpc4-4knf;ACC_1.VD.1602;2020
4sgua-dxudib-i5dl8l9h-1-i5mtrpc4-4knf;ACC_1.VD.1602;2017
4sgua-dxudib-i5dl8l9h-1-i5mtrpc4-4knf;ACC_1.VD.1602;2018
4sgua-dxudib-i5dl8l9h-1-i5mtrpc4-4knf;ACC_1.VD.1602;2019
CONTACT.WEB.133655;ACC_1.BE.0117;2020
CONTACT.WEB.133655;ACC_1.BE.0117;2018
CONTACT.WEB.133655;ACC_1.BE.0117;2019
CONTACT.WEB.133655;ACC_1.SGALV.1008;2015
CONTACT.WEB.133655;ACC_1.SGALV.1008;2017
CONTACT.WEB.133655;ACC_1.SGALV.1008;2012
CONTACT.WEB.133655;ACC_1.SGALV.1008;2013
CONTACT.WEB.133655;ACC_1.SGALV.1008;2014
CONTACT.WEB.133770;ACC_1.BSBL.0209;2020
CONTACT.WEB.133770;ACC_1.BSBL.0209;2016
CONTACT.WEB.133770;ACC_1.BSBL.0209;2018
CONTACT.WEB.133770;ACC_1.BSBL.0209;2019
a21aa-pc5jyc-jc65iy74-1-jcb3txl1-ve0;ACC_1.GE.0405;2020
a21aa-pc5jyc-jc65iy74-1-jcb3txl1-ve0;ACC_1.GE.0405;2018
a21aa-pc5jyc-jc65iy74-1-jcb3txl1-ve0;ACC_1.GE.0405;2019
CONTACT.WEB.138329;ACC_1.ZH.1802;2020
CONTACT.WEB.138329;ACC_1.ZH.1802;2017
CONTACT.WEB.138329;ACC_1.ZH.1802;2018
CONTACT.WEB.138329;ACC_1.ZH.1802;2019
CONTACT.WEB.151558;ACC_1.TI.1501;2020
CONTACT.WEB.151558;ACC_1.TI.1501;2018
CONTACT.WEB.151558;ACC_1.TI.1501;2019
CONTACT.WEB.130650;ACC_1.BE.0115;2020
CONTACT.WEB.130650;ACC_1.NE.0907;2017
CONTACT.WEB.130650;ACC_1.NE.0907;2018
CONTACT.WEB.130650;ACC_1.NE.0907;2019
4sgua-e7ht0y-ivbjs5cr-1-ivipei7n-43gy;ACC_1.VD.1602;2020
4sgua-e7ht0y-ivbjs5cr-1-ivipei7n-43gy;ACC_1.VD.1602;2017
4sgua-e7ht0y-ivbjs5cr-1-ivipei7n-43gy;ACC_1.VD.1602;2018
4sgua-e7ht0y-ivbjs5cr-1-ivipei7n-43gy;ACC_1.VD.1602;2019
4sgua-6rs9z8-j2ppd3ax-1-j3x6nmid-1eqju;ACC_1.VD.1602;2020
4sgua-6rs9z8-j2ppd3ax-1-j3x6nmid-1eqju;ACC_1.VD.1602;2019
4sgua-qw6nx7-i8j6zhcw-1-i91of9yf-c0xu;ACC_1.AG.0030;2020
4sgua-qw6nx7-i8j6zhcw-1-i91of9yf-c0xu;ACC_1.AG.0030;2015
4sgua-qw6nx7-i8j6zhcw-1-i91of9yf-c0xu;ACC_1.AG.0030;2016
4sgua-qw6nx7-i8j6zhcw-1-i91of9yf-c0xu;ACC_1.AG.0030;2017
4sgua-qw6nx7-i8j6zhcw-1-i91of9yf-c0xu;ACC_1.AG.0030;2018
CONTACT.WEB.143230;ACC_1.VS.1713;2020
CONTACT.WEB.143230;ACC_1.VS.1713;2019
a21aa-pc5jyc-jc65iy74-1-jcf8360m-1edd;ACC_1.VD.1616;2020
a21aa-pc5jyc-jc65iy74-1-jcf8360m-1edd;ACC_1.VD.1616;2018
a21aa-pc5jyc-jc65iy74-1-jcf8360m-1edd;ACC_1.VD.1616;2019
CONTACT.WEB.141813;ACC_1.INNERSCHWEIZ.0701;2020
CONTACT.WEB.141813;ACC_1.INNERSCHWEIZ.0701;2018
CONTACT.WEB.141813;ACC_1.INNERSCHWEIZ.0701;2019
CONTACT.WEB.137339;ACC_1.INNERSCHWEIZ.0707;2020
CONTACT.WEB.137339;ACC_1.INNERSCHWEIZ.0707;2016
CONTACT.WEB.137339;ACC_1.INNERSCHWEIZ.0707;2017
CONTACT.WEB.137339;ACC_1.INNERSCHWEIZ.0707;2018
CONTACT.WEB.137339;ACC_1.INNERSCHWEIZ.0707;2019
CONTACT.WEB.137914;ACC_1.GE.0414;2020
CONTACT.WEB.137914;ACC_1.GE.0414;2016
CONTACT.WEB.137914;ACC_1.GE.0414;2017
CONTACT.WEB.137914;ACC_1.GE.0414;2018
CONTACT.WEB.137914;ACC_1.GE.0414;2019
CONTACT.WEB.147084;ACC_1.BSBL.0202;2020
CONTACT.WEB.147084;ACC_1.BSBL.0202;2017
CONTACT.WEB.147084;ACC_1.BSBL.0202;2018
CONTACT.WEB.147084;ACC_1.BSBL.0202;2019
CONTACT.WEB.128274;ACC_1.BSBL.0218;2020
CONTACT.WEB.128274;ACC_1.BSBL.0218;2015
CONTACT.WEB.128274;ACC_1.BSBL.0218;2016
CONTACT.WEB.128274;ACC_1.BSBL.0218;2017
CONTACT.WEB.128274;ACC_1.BSBL.0218;2018
CONTACT.WEB.128274;ACC_1.BSBL.0218;2019
CONTACT.WEB.128274;ACC_1.BSBL.0218;2013
CONTACT.WEB.128274;ACC_1.BSBL.0218;2014
CONTACT.WEB.148132;ACC_1.BE.0142;2020
CONTACT.WEB.148132;ACC_1.BE.0142;2018
CONTACT.WEB.148132;ACC_1.BE.0142;2019
CONTACT.WEB.136745;ACC_1.ZH.1804;2020
CONTACT.WEB.136745;5c4o6h4b-5c69up-jpar4yvq-1-jpaxuiuz-30;2009
4sgua-1o8ywc-h3h68ap6-1-h66nv19l-33aj;ACC_1.INNERSCHWEIZ.0733;2020
4sgua-1o8ywc-h3h68ap6-1-h66nv19l-33aj;ACC_1.INNERSCHWEIZ.0733;2015
4sgua-1o8ywc-h3h68ap6-1-h66nv19l-33aj;ACC_1.INNERSCHWEIZ.0733;2016
4sgua-1o8ywc-h3h68ap6-1-h66nv19l-33aj;ACC_1.INNERSCHWEIZ.0733;2017
4sgua-1o8ywc-h3h68ap6-1-h66nv19l-33aj;ACC_1.INNERSCHWEIZ.0733;2018
4sgua-1o8ywc-h3h68ap6-1-h66nv19l-33aj;ACC_1.INNERSCHWEIZ.0733;2019
4sgua-1o8ywc-h3h68ap6-1-h66nv19l-33aj;ACC_1.INNERSCHWEIZ.0733;2014
a21aa-ogaf4d-jy7njhbg-1-jysg2oyl-1bjg;ACC_1.AG.0006;2020
a21aa-ogaf4d-jy7njhbg-1-jysg2oyl-1bjg;ACC_1.AG.0006;2019
CONTACT.WEB.139175;ACC_1.BSBL.0218;2020
CONTACT.WEB.139175;ACC_1.BSBL.0218;2015
CONTACT.WEB.139175;ACC_1.BSBL.0218;2016
CONTACT.WEB.139175;ACC_1.BSBL.0218;2017
CONTACT.WEB.139175;ACC_1.BSBL.0218;2018
CONTACT.WEB.139175;ACC_1.BSBL.0218;2019
CONTACT.WEB.139175;ACC_1.BSBL.0218;2013
CONTACT.WEB.139175;ACC_1.BSBL.0218;2014
CONTACT.WEB.141718;ACC_1.AG.0009;2020
CONTACT.WEB.141718;ACC_1.AG.0009;2016
CONTACT.WEB.141718;ACC_1.AG.0009;2017
CONTACT.WEB.141718;ACC_1.AG.0009;2018
CONTACT.WEB.141718;ACC_1.AG.0009;2019
CON_36093;ACC_1.AG.0006;2020
CON_36093;ACC_1.AG.0006;2015
CON_36093;ACC_1.AG.0006;2018
CON_36093;ACC_1.AG.0006;2019
CON_36093;ACC_1.AG.0006;2006
CON_36093;ACC_1.AG.0006;2007
CON_36093;ACC_1.AG.0006;2008
CON_36093;ACC_1.AG.0006;2009
CON_36093;ACC_1.AG.0006;2010
CON_36093;ACC_1.AG.0006;2011
CON_36093;ACC_1.AG.0006;2012
CON_36093;ACC_1.AG.0006;2013
CON_36093;ACC_1.AG.0006;2014
CON_36093;ACC_1.AG.0030;2016
CON_36093;ACC_1.AG.0030;2017
CONTACT.WEB.145826;ACC_1.ZH.1802;2020
CONTACT.WEB.145826;ACC_1.ZH.1802;2018
CONTACT.WEB.145826;ACC_1.ZH.1802;2019
CONTACT.WEB.151117;ACC_1.BSBL.0216;2020
4sgua-sip0ot-in9cf28m-1-inj7rrwg-7fmc;ACC_1.INNERSCHWEIZ.0701;2020
4sgua-sip0ot-in9cf28m-1-inj7rrwg-7fmc;ACC_1.INNERSCHWEIZ.0701;2018
4sgua-sip0ot-in9cf28m-1-inj7rrwg-7fmc;ACC_1.INNERSCHWEIZ.0701;2019
CONTACT.WEB.145507;4sgua-8mj3ge-h21wv1jb-1-h2a26h7w-iep;2020
CONTACT.WEB.145507;4sgua-8mj3ge-h21wv1jb-1-h2a26h7w-iep;2018
CONTACT.WEB.145507;4sgua-8mj3ge-h21wv1jb-1-h2a26h7w-iep;2019
4sgua-efm03e-io3ble2p-1-io86e12x-5i70;ACC_1.VD.1602;2020
4sgua-efm03e-io3ble2p-1-io86e12x-5i70;ACC_1.VD.1602;2019
4sgua-f2702m-hlesp5zn-1-hlg8oe0n-20s2;ACC_1.TI.1509;2020
CONTACT.WEB.143278;ACC_1.ZH.1804;2020
CONTACT.WEB.143278;ACC_1.ZH.1804;2019
4sgua-pmy6ns-hbo4ikco-1-hbqtxvs0-1mri;ACC_1.AG.0009;2020
4sgua-pmy6ns-hbo4ikco-1-hbqtxvs0-1mri;ACC_1.AG.0009;2015
